frame	n	Y	U	V	All
0	1	0.547651	0.837993	0.869561	0.649693
1	2	0.547691	0.837841	0.869474	0.64968
2	3	0.547666	0.837803	0.869443	0.649652
3	4	0.560813	0.836577	0.869046	0.658146
4	5	0.560719	0.836572	0.869173	0.658104
5	6	0.56299	0.836738	0.869332	0.659672
6	7	0.567454	0.836231	0.869157	0.662534
7	8	0.567513	0.836173	0.869098	0.662554
8	9	0.567276	0.836252	0.869175	0.662422
9	10	0.570936	0.835785	0.868955	0.664747
10	11	0.571031	0.83583	0.868974	0.664821
11	12	0.571108	0.835633	0.868955	0.664836
12	13	0.567435	0.833439	0.867346	0.661754
13	14	0.567864	0.833444	0.867287	0.662031
14	15	0.567864	0.833389	0.867272	0.662019
15	16	0.562357	0.833076	0.866724	0.658205
16	17	0.562307	0.833084	0.866655	0.658161
17	18	0.563009	0.833254	0.866747	0.658673
18	19	0.564873	0.832562	0.865704	0.659627
19	20	0.564934	0.832597	0.865694	0.659671
20	21	0.564604	0.832602	0.865618	0.65944
21	22	0.561597	0.832809	0.865785	0.657497
22	23	0.561586	0.832801	0.86582	0.657494
23	24	0.561586	0.832816	0.865867	0.657505
24	25	0.560449	0.831175	0.864832	0.656301
25	26	0.560704	0.831189	0.865034	0.656507
26	27	0.560627	0.831173	0.865044	0.656454
27	28	0.574645	0.833257	0.866009	0.666307
28	29	0.574477	0.833238	0.865947	0.666182
29	30	0.57567	0.833423	0.866062	0.667027
30	31	0.575985	0.833816	0.866719	0.667412
31	32	0.576032	0.833833	0.866713	0.667445
32	33	0.575767	0.833841	0.86662	0.667255
33	34	0.573816	0.834575	0.866206	0.666007
34	35	0.573805	0.83455	0.866244	0.666002
35	36	0.573816	0.834598	0.866219	0.666013
36	37	0.571443	0.833582	0.865595	0.664158
37	38	0.571798	0.83364	0.86566	0.664415
38	39	0.571621	0.833629	0.865683	0.664299
39	40	0.562316	0.833997	0.865806	0.658178
40	41	0.562139	0.833962	0.865738	0.658043
41	42	0.562567	0.834017	0.865936	0.65837
42	43	0.564209	0.834074	0.866319	0.659538
43	44	0.564219	0.834062	0.86634	0.659546
44	45	0.563896	0.834109	0.866283	0.659329
45	46	0.560352	0.835064	0.866165	0.657106
46	47	0.560398	0.83519	0.866224	0.657168
47	48	0.560373	0.835207	0.866327	0.657171
48	49	0.558684	0.833916	0.865289	0.655656
49	50	0.558855	0.833998	0.865477	0.655816
50	51	0.558804	0.833984	0.865466	0.655778
51	52	0.571438	0.835277	0.866639	0.664611
52	53	0.571195	0.835267	0.866567	0.664435
53	54	0.572583	0.835449	0.866733	0.665419
54	55	0.574695	0.835652	0.86793	0.667061
55	56	0.574747	0.835629	0.867937	0.667092
56	57	0.574143	0.835546	0.867934	0.666675
57	58	0.573379	0.837001	0.869121	0.666606
58	59	0.573402	0.837009	0.869137	0.666626
59	60	0.573314	0.836989	0.869191	0.666573
60	61	0.569716	0.836169	0.869418	0.664075
61	62	0.570157	0.836339	0.869581	0.664424
62	63	0.570054	0.836346	0.869545	0.664351
63	64	0.563462	0.836642	0.869668	0.660026
64	65	0.563308	0.836534	0.869574	0.65989
65	66	0.563802	0.836766	0.869742	0.660286
66	67	0.56244	0.836443	0.869826	0.659338
67	68	0.562556	0.836472	0.869869	0.659428
68	69	0.562354	0.836461	0.869735	0.659269
69	70	0.560746	0.83751	0.870656	0.658525
70	71	0.560786	0.837512	0.870636	0.658548
71	72	0.560807	0.837399	0.870644	0.658545
72	73	0.557834	0.836165	0.869715	0.656203
73	74	0.55801	0.836266	0.86984	0.656357
74	75	0.558053	0.836317	0.869888	0.656403
75	76	0.572389	0.838129	0.870865	0.666425
76	77	0.572104	0.838041	0.870862	0.66622
77	78	0.573263	0.83814	0.870973	0.667028
78	79	0.573724	0.83835	0.8715	0.667458
79	80	0.573788	0.838355	0.871549	0.667509
80	81	0.573523	0.838391	0.871432	0.667319
81	82	0.572733	0.839721	0.872378	0.667172
82	83	0.572726	0.839718	0.872375	0.667167
83	84	0.572739	0.839646	0.872511	0.667186
84	85	0.569654	0.838442	0.871829	0.664815
85	86	0.569886	0.83846	0.872007	0.665002
86	87	0.569779	0.838444	0.871978	0.664923
87	88	0.561514	0.838856	0.871933	0.659474
88	89	0.561426	0.838806	0.87189	0.6594
89	90	0.56175	0.838909	0.872001	0.659652
90	91	0.562061	0.839028	0.872703	0.659996
91	92	0.562024	0.839029	0.872723	0.659975
92	93	0.561736	0.838967	0.872671	0.659763
93	94	0.560121	0.84004	0.873226	0.658958
94	95	0.56013	0.84007	0.873228	0.65897
95	96	0.560078	0.84002	0.873139	0.658912
96	97	0.559213	0.838995	0.872291	0.658023
97	98	0.559416	0.838995	0.872375	0.658173
98	99	0.559389	0.83902	0.872381	0.658159
99	100	0.572098	0.839692	0.872493	0.666763
100	101	0.571899	0.839708	0.872421	0.666621
101	102	0.573173	0.839828	0.872617	0.667522
102	103	0.572365	0.839956	0.873045	0.667077
103	104	0.572417	0.839963	0.873052	0.667114
104	105	0.572154	0.839996	0.873064	0.666946
105	106	0.570785	0.839772	0.87281	0.665954
106	107	0.570731	0.839782	0.872769	0.665913
107	108	0.570845	0.839746	0.872702	0.665971
108	109	0.568741	0.83802	0.872022	0.664168
109	110	0.569108	0.83799	0.872128	0.664425
110	111	0.569047	0.838031	0.87215	0.664395
111	112	0.561506	0.838987	0.872247	0.659543
112	113	0.561416	0.83899	0.872226	0.65948
113	114	0.561855	0.838999	0.872369	0.659798
114	115	0.560534	0.838669	0.872325	0.658855
115	116	0.560627	0.838616	0.872353	0.658913
116	117	0.56049	0.83861	0.872284	0.658809
117	118	0.557234	0.839133	0.872383	0.656742
118	119	0.55731	0.839189	0.872362	0.656799
119	120	0.557255	0.839173	0.872463	0.656776
120	121	0.556556	0.837957	0.871558	0.655956
121	122	0.55664	0.837991	0.871591	0.656024
122	123	0.556545	0.83796	0.871566	0.655951
123	124	0.565413	0.839237	0.872279	0.662195
124	125	0.565227	0.839205	0.872241	0.662059
125	126	0.566516	0.839321	0.872445	0.662972
126	127	0.567856	0.839528	0.872676	0.663938
127	128	0.567874	0.839544	0.872699	0.663956
128	129	0.567526	0.839534	0.872553	0.663698
129	130	0.567387	0.840224	0.873383	0.663859
130	131	0.567383	0.840325	0.873507	0.663894
131	132	0.567437	0.840337	0.873504	0.663932
132	133	0.562935	0.840049	0.872759	0.660758
133	134	0.563391	0.840132	0.872897	0.661099
134	135	0.56335	0.840131	0.87295	0.66108
135	136	0.555932	0.840506	0.873702	0.656322
136	137	0.555826	0.840522	0.873689	0.656253
137	138	0.556298	0.840484	0.87376	0.656572
138	139	0.556379	0.840999	0.873864	0.65673
139	140	0.556371	0.841005	0.873844	0.656722
140	141	0.556192	0.841083	0.873856	0.656618
141	142	0.55551	0.841013	0.874139	0.656199
142	143	0.555611	0.840928	0.874105	0.656246
143	144	0.555678	0.840949	0.874163	0.656304
144	145	0.556054	0.839671	0.873329	0.656203
145	146	0.556315	0.839671	0.873444	0.656396
146	147	0.556284	0.839651	0.87341	0.656366
147	148	0.564751	0.840744	0.874477	0.662371
148	149	0.56452	0.840732	0.874422	0.662205
149	150	0.565792	0.840894	0.874593	0.663109
150	151	0.567757	0.840884	0.874849	0.66446
151	152	0.567831	0.840878	0.87484	0.664507
152	153	0.567359	0.840836	0.874823	0.664182
153	154	0.566212	0.841473	0.875953	0.663712
154	155	0.566265	0.841434	0.875964	0.663743
155	156	0.566239	0.841446	0.875917	0.66372
156	157	0.563331	0.840696	0.875346	0.661561
157	158	0.563526	0.840765	0.875472	0.661724
158	159	0.563469	0.840742	0.875487	0.661684
159	160	0.556805	0.840714	0.875503	0.657239
160	161	0.556632	0.840655	0.875448	0.657105
161	162	0.557266	0.840864	0.875676	0.657601
162	163	0.558146	0.840624	0.875903	0.658185
163	164	0.558148	0.840586	0.875943	0.658186
164	165	0.558007	0.840525	0.875873	0.658071
165	166	0.556285	0.841589	0.876233	0.65716
166	167	0.556268	0.841582	0.876273	0.657155
167	168	0.556249	0.841561	0.876261	0.657136
168	169	0.555849	0.84159	0.876202	0.656865
169	170	0.556059	0.841491	0.876346	0.657013
170	171	0.555995	0.841501	0.876375	0.656976
171	172	0.560226	0.841538	0.876132	0.659762
172	173	0.56	0.841488	0.87613	0.659603
173	174	0.561307	0.84177	0.876332	0.660555
174	175	0.565547	0.84147	0.876516	0.663362
175	176	0.565641	0.841421	0.876508	0.663416
176	177	0.56527	0.841373	0.876389	0.66314
177	178	0.566385	0.842329	0.876701	0.664095
178	179	0.566433	0.842279	0.87671	0.66412
179	180	0.566497	0.842265	0.876706	0.66416
180	181	0.563092	0.840891	0.875626	0.661481
181	182	0.563245	0.84095	0.875871	0.661633
182	183	0.563069	0.840941	0.875861	0.661513
183	184	0.555167	0.841399	0.875559	0.656271
184	185	0.555078	0.841362	0.875533	0.656201
185	186	0.555474	0.841507	0.875656	0.65651
186	187	0.560306	0.841617	0.87631	0.659858
187	188	0.560297	0.841611	0.876344	0.659857
188	189	0.560114	0.841618	0.876303	0.65973
189	190	0.555834	0.841854	0.876216	0.656901
190	191	0.555775	0.841888	0.87621	0.656866
191	192	0.555744	0.841809	0.876264	0.656842
192	193	0.556065	0.840797	0.875752	0.656802
193	194	0.55626	0.840784	0.87585	0.656945
194	195	0.556194	0.840869	0.875879	0.656921
195	196	0.562752	0.842534	0.87666	0.6617
196	197	0.562612	0.842525	0.876639	0.661602
197	198	0.563944	0.842631	0.876877	0.662547
198	199	0.566842	0.843045	0.877137	0.664592
199	200	0.566889	0.843049	0.877143	0.664625
200	201	0.566602	0.843041	0.877095	0.664424
201	202	0.567435	0.843973	0.87804	0.665292
202	203	0.567505	0.844014	0.878021	0.665342
203	204	0.567489	0.844002	0.878103	0.665343
204	205	0.565606	0.843343	0.875772	0.66359
205	206	0.565992	0.843499	0.875959	0.663904
206	207	0.565941	0.843448	0.875916	0.663855
207	208	0.558914	0.844206	0.87768	0.659591
208	209	0.558792	0.844188	0.877701	0.659509
209	210	0.559151	0.844336	0.877771	0.659785
210	211	0.560374	0.844647	0.877717	0.660643
211	212	0.560388	0.844652	0.877691	0.660649
212	213	0.560234	0.844631	0.877543	0.660518
213	214	0.559251	0.844846	0.878365	0.660036
214	215	0.55929	0.844972	0.878385	0.660086
215	216	0.55936	0.844976	0.87836	0.660129
216	217	0.558304	0.844085	0.87702	0.659053
217	218	0.558521	0.844179	0.877142	0.659234
218	219	0.558455	0.844189	0.877131	0.65919
219	220	0.563227	0.844892	0.878154	0.662659
220	221	0.56321	0.844848	0.878148	0.66264
221	222	0.563629	0.844984	0.878119	0.662937
222	223	0.567395	0.844324	0.878336	0.665373
223	224	0.56739	0.844349	0.878322	0.665371
224	225	0.567852	0.844255	0.87846	0.665687
225	226	0.566852	0.844637	0.878526	0.665095
226	227	0.567012	0.844675	0.878535	0.665209
227	228	0.566827	0.844586	0.878456	0.665059
228	229	0.56758	0.844194	0.877884	0.665399
229	230	0.567794	0.844228	0.877943	0.665558
230	231	0.567849	0.844273	0.877935	0.665601
231	232	0.559512	0.843982	0.877707	0.659956
232	233	0.559749	0.84404	0.877831	0.660144
233	234	0.560117	0.844068	0.877888	0.660404
234	235	0.561007	0.844073	0.87789	0.660998
235	236	0.561086	0.844081	0.87791	0.661056
236	237	0.56125	0.844203	0.877934	0.66119
237	238	0.558569	0.844895	0.877949	0.65952
238	239	0.558634	0.844868	0.877985	0.659565
239	240	0.558535	0.84487	0.877971	0.659497
240	241	0.558952	0.844387	0.878166	0.659727
241	242	0.559116	0.844401	0.87816	0.659837
