frame	integer_motion2	integer_motion	integer_adm2	integer_adm_scale0	integer_adm_scale1	integer_adm_scale2	integer_adm_scale3	integer_vif_scale0	integer_vif_scale1	integer_vif_scale2	integer_vif_scale3	vmaf
0	0	0	0.407985	0.840396	0.519503	0.329302	0.261983	0.093332	0.15195	0.160001	0.144383	0	0
1	0.009991	0.025894	0.407856	0.840663	0.519628	0.329971	0.261159	0.093498	0.151936	0.159681	0.144738	0	1
2	0.009991	0.009991	0.408211	0.84044	0.527774	0.332598	0.257159	0.093387	0.15197	0.16	0.145068	0	2
3	0.023893	0.801584	0.403823	0.845473	0.510199	0.315701	0.257935	0.098439	0.157032	0.163704	0.146889	0	3
4	0.023893	0.023893	0.403812	0.846156	0.509776	0.31515	0.258128	0.098117	0.156953	0.163438	0.146565	0	4
5	0.137034	0.137034	0.406542	0.846391	0.508955	0.321525	0.260782	0.100581	0.158246	0.164347	0.147655	0	5
6	0.017375	0.712018	0.398901	0.849194	0.50561	0.311345	0.2468	0.103425	0.162499	0.16761	0.151149	0	6
7	0.017375	0.017375	0.397833	0.849137	0.500787	0.310353	0.247028	0.10365	0.162489	0.167537	0.151534	0	7
8	0.045556	0.045556	0.398827	0.848983	0.507119	0.310415	0.246743	0.102619	0.162077	0.166927	0.15075	0	8
9	0.035619	0.687702	0.394508	0.854248	0.499702	0.296263	0.24837	0.106576	0.165457	0.169379	0.152277	0	9
10	0.035619	0.035619	0.398161	0.854432	0.506283	0.303801	0.249363	0.106549	0.165544	0.169579	0.152008	0	10
11	0.048831	0.048831	0.400253	0.854124	0.507245	0.310945	0.249372	0.10668	0.16543	0.169278	0.151816	0	11
12	0.072005	0.785124	0.394069	0.840303	0.505125	0.296937	0.245541	0.10347	0.164578	0.169196	0.15289	0	12
13	0.022218	0.072005	0.399282	0.840334	0.51146	0.310384	0.246545	0.104118	0.164869	0.169236	0.152777	0	13
14	0.022218	0.022218	0.394265	0.840092	0.505197	0.297621	0.245594	0.104066	0.164635	0.16924	0.152813	0	14
15	0.02096	0.910197	0.40603	0.842846	0.513433	0.285116	0.277287	0.101949	0.161414	0.166522	0.148974	0	15
16	0.02096	0.02096	0.405817	0.842435	0.514065	0.284281	0.277282	0.101837	0.161612	0.166633	0.149113	0	16
17	0.083454	0.083454	0.409084	0.842214	0.522692	0.287565	0.27865	0.102625	0.161855	0.166941	0.149323	0	17
18	0.019466	0.79681	0.402957	0.840611	0.502471	0.289846	0.267684	0.104131	0.163999	0.169015	0.15267	0	18
19	0.019466	0.019466	0.410624	0.841109	0.517828	0.289549	0.280433	0.104083	0.163763	0.168895	0.15244	0	19
20	0.046556	0.046556	0.405756	0.843097	0.505975	0.290248	0.272078	0.103188	0.16328	0.169003	0.151803	0	20
21	0.030508	0.792108	0.418442	0.842841	0.501328	0.289818	0.3063	0.102755	0.162748	0.169325	0.15169	0	21
22	0.030508	0.030508	0.418085	0.842567	0.500653	0.289257	0.306264	0.102666	0.162715	0.169216	0.151639	0	22
23	0.041521	0.041521	0.414084	0.842718	0.502032	0.292433	0.292308	0.10292	0.162903	0.169326	0.151324	0	23
24	0.035277	0.80899	0.414277	0.84144	0.499665	0.283058	0.299271	0.100221	0.161571	0.167299	0.150249	0	24
