frame	n	mse_avg	mse_y	mse_u	mse_v	psnr_avg	psnr_y	psnr_u	psnr_v
0	1	2512.53	3485.98	660.02	471.24	14.13	12.71	19.94	21.4
1	2	2513.08	3486.64	660.97	470.94	14.13	12.71	19.93	21.4
2	3	2513.19	3486.79	660.81	471.16	14.13	12.71	19.93	21.4
3	4	2522.26	3498.36	665.63	474.54	14.11	12.69	19.9	21.37
4	5	2522.71	3499.02	665.43	474.74	14.11	12.69	19.9	21.37
5	6	2521.99	3497.84	666.07	474.52	14.11	12.69	19.9	21.37
6	7	2529.29	3506.67	671.15	477.92	14.1	12.68	19.86	21.34
7	8	2529.41	3506.86	671.26	477.78	14.1	12.68	19.86	21.34
8	9	2528.93	3506.19	670.9	477.92	14.1	12.68	19.86	21.34
9	10	2534.22	3512.9	673.32	480.36	14.09	12.67	19.85	21.32
10	11	2534.02	3512.52	673.58	480.45	14.09	12.67	19.85	21.31
11	12	2534.11	3512.53	674.08	480.46	14.09	12.67	19.84	21.31
12	13	2530.24	3505.45	673.41	486.22	14.1	12.68	19.85	21.26
13	14	2529.11	3503.65	674.21	485.85	14.1	12.69	19.84	21.27
14	15	2529.79	3504.65	674.17	485.96	14.1	12.68	19.84	21.26
15	16	2560.02	3548.98	678.8	485.4	14.05	12.63	19.81	21.27
16	17	2560.28	3549.34	678.68	485.63	14.05	12.63	19.81	21.27
17	18	2559.05	3547.48	678.86	485.53	14.05	12.63	19.81	21.27
18	19	2527.04	3495.26	680.36	500.85	14.1	12.7	19.8	21.13
19	20	2527	3495.17	680.53	500.79	14.1	12.7	19.8	21.13
20	21	2527.62	3496.14	680.03	501.14	14.1	12.69	19.81	21.13
21	22	2554.77	3540.4	680.04	486.96	14.06	12.64	19.81	21.26
22	23	2554.26	3539.64	680.12	486.9	14.06	12.64	19.8	21.26
23	24	2554.19	3539.43	680.76	486.68	14.06	12.64	19.8	21.26
24	25	2547.93	3528.4	676.18	497.77	14.07	12.66	19.83	21.16
25	26	2548.03	3528.61	676.54	497.23	14.07	12.65	19.83	21.17
26	27	2548.03	3528.64	676.39	497.22	14.07	12.65	19.83	21.17
27	28	2568.1	3561.91	675.92	485	14.03	12.61	19.83	21.27
28	29	2568.04	3561.91	675.44	485.16	14.03	12.61	19.83	21.27
29	30	2565.71	3558.46	675.9	484.54	14.04	12.62	19.83	21.28
30	31	2547.46	3530.67	675.24	486.86	14.07	12.65	19.84	21.26
31	32	2547.38	3530.53	675.41	486.76	14.07	12.65	19.84	21.26
32	33	2547.91	3531.41	674.84	486.96	14.07	12.65	19.84	21.26
33	34	2561.93	3553.95	673.79	482.01	14.05	12.62	19.85	21.3
