frame	integer_motion2	integer_motion	integer_adm2	integer_adm_scale0	integer_adm_scale1	integer_adm_scale2	integer_adm_scale3	integer_vif_scale0	integer_vif_scale1	integer_vif_scale2	integer_vif_scale3	vmaf
0	0	0	0.533318	0.816289	0.522682	0.384627	0.509001	0.138164	0.18424	0.186325	0.167498	0	0
1	0.013812	0.035718	0.523645	0.816335	0.517422	0.391251	0.478087	0.138422	0.184271	0.18713	0.167873	0	1
2	0.013812	0.013812	0.53626	0.81643	0.518109	0.39056	0.516253	0.138399	0.184373	0.186894	0.16824	0	2
3	0.028115	0.840242	0.514568	0.839011	0.549707	0.428458	0.389262	0.141556	0.18824	0.190967	0.169866	0	3
4	0.028115	0.028115	0.509141	0.83893	0.549761	0.424527	0.3763	0.141474	0.188566	0.19113	0.170122	0	4
5	0.076768	0.076768	0.493979	0.838346	0.551129	0.39148	0.356691	0.143146	0.190117	0.192333	0.170823	0	5
6	0.014447	1.027831	0.490056	0.837695	0.551429	0.397773	0.336009	0.143312	0.192498	0.194428	0.173711	0	6
7	0.014447	0.014447	0.491145	0.837601	0.549976	0.396068	0.341666	0.14334	0.192433	0.194737	0.173556	0	7
8	0.039294	0.039294	0.490512	0.838013	0.550219	0.401779	0.33486	0.142791	0.19219	0.19454	0.174214	0	8
9	0.058901	0.943761	0.534672	0.84147	0.558794	0.396215	0.464623	0.148473	0.197018	0.198094	0.176506	0	9
10	0.046627	0.058901	0.536621	0.840795	0.559768	0.404202	0.463754	0.148408	0.197185	0.198628	0.176587	0	10
11	0.046627	0.046627	0.562415	0.841383	0.560883	0.502687	0.461796	0.148421	0.197236	0.198638	0.176711	0.825064	11
12	0.047422	1.215016	0.533791	0.836555	0.556575	0.402843	0.457887	0.141996	0.19371	0.196662	0.177824	0	12
13	0.014321	0.047422	0.496225	0.837107	0.557249	0.406898	0.339328	0.142657	0.194355	0.197396	0.177911	0	13
14	0.014321	0.014321	0.52969	0.836931	0.555362	0.395888	0.451597	0.142586	0.194206	0.197333	0.177707	0	14
15	0.016452	1.323092	0.503736	0.839557	0.559116	0.410718	0.361378	0.146402	0.19543	0.197854	0.175799	0	15
16	0.016452	0.016452	0.503923	0.839752	0.558457	0.410422	0.362506	0.146112	0.195314	0.197874	0.176235	0	16
17	0.056198	0.056198	0.501755	0.839547	0.556116	0.396046	0.36896	0.146996	0.195697	0.197744	0.175374	0	17
18	0.018962	1.225329	0.488997	0.837318	0.545198	0.402894	0.326399	0.143459	0.193983	0.196821	0.175599	0	18
19	0.018962	0.018962	0.498201	0.837258	0.546668	0.398877	0.356897	0.143557	0.19407	0.197089	0.175993	0	19
20	0.044999	0.044999	0.493354	0.837256	0.544517	0.398256	0.344085	0.143139	0.19392	0.196736	0.174923	0	20
21	0.037165	1.250327	0.494936	0.830806	0.542393	0.406105	0.348559	0.148882	0.197793	0.200611	0.177493	0	21
22	0.037165	0.037165	0.517479	0.830831	0.543349	0.404001	0.418574	0.148521	0.197487	0.200386	0.177115	0	22
23	0.038487	0.038487	0.487511	0.830748	0.542615	0.403973	0.327434	0.148689	0.197761	0.200802	0.177847	0	23
24	0.033554	1.171618	0.494173	0.828537	0.549229	0.429661	0.323591	0.144704	0.195679	0.199678	0.17914	0	24
25	0.008744	0.033554	0.505047	0.828413	0.549335	0.429517	0.356926	0.145055	0.195944	0.199458	0.178706	0	25
26	0.008744	0.008744	0.505148	0.828486	0.549272	0.429534	0.357211	0.145035	0.196006	0.199465	0.179085	0	26
27	0.021458	1.587242	0.492456	0.854535	0.58386	0.384545	0.332274	0.149606	0.196128	0.198369	0.175985	0	27
28	0.021458	0.021458	0.492455	0.854508	0.58365	0.381746	0.33462	0.14938	0.196097	0.198428	0.176526	0	28
29	0.063604	0.063604	0.518028	0.854681	0.583803	0.39124	0.401354	0.15028	0.196574	0.198683	0.176673	0	29
30	0.018616	1.206329	0.523072	0.845161	0.566883	0.429293	0.396442	0.148858	0.198401	0.201826	0.179736	0	30
31	0.018616	0.018616	0.520811	0.845151	0.564116	0.4214	0.397676	0.148811	0.198379	0.201617	0.179094	0	31
32	0.043125	0.043125	0.567411	0.845118	0.564478	0.428183	0.529166	0.148628	0.198401	0.201549	0.178757	1.141217	32
33	0.030834	1.111681	0.510896	0.84565	0.557603	0.377553	0.407516	0.153351	0.201387	0.203842	0.180041	0	33
34	0.030834	0.030834	0.506926	0.845767	0.557104	0.374782	0.398208	0.153103	0.201218	0.203052	0.179725	0	34
35	0.034154	0.034154	0.503105	0.845279	0.563325	0.377619	0.38108	0.153157	0.201087	0.203623	0.179401	0	35
36	0.051498	1.449602	0.498682	0.846253	0.56076	0.407373	0.347544	0.142085	0.191811	0.196043	0.176487	0	36
37	0.013617	0.051498	0.505627	0.845969	0.560713	0.414965	0.362338	0.142453	0.191937	0.196402	0.176476	0	37
38	0.013617	0.013617	0.498941	0.84591	0.559715	0.411968	0.345654	0.142452	0.191896	0.196265	0.176726	0	38
39	0.020383	1.529591	0.494803	0.847171	0.563574	0.399684	0.344094	0.147071	0.194812	0.19779	0.176801	0	39
40	0.020383	0.020383	0.499899	0.847096	0.563204	0.394682	0.363043	0.146811	0.194514	0.197666	0.177038	0	40
41	0.046216	0.046216	0.510937	0.847477	0.559879	0.409475	0.385717	0.147259	0.194743	0.197688	0.176783	0	41
42	0.016364	1.102971	0.486655	0.834145	0.551836	0.387261	0.334888	0.148042	0.199092	0.20255	0.179841	0	42
43	0.016364	0.016364	0.488137	0.834654	0.552005	0.391604	0.335499	0.148003	0.199087	0.202548	0.179357	0	43
44	0.043615	0.043615	0.48374	0.834428	0.552519	0.379411	0.331781	0.147407	0.1989	0.20269	0.180308	0	44
45	0.039671	1.102632	0.480285	0.839343	0.54299	0.387864	0.322738	0.149183	0.198105	0.201901	0.180487	0	45
46	0.038282	0.039671	0.475776	0.839236	0.543488	0.388749	0.308504	0.149073	0.19822	0.201727	0.179733	0	46
47	0.038282	0.038282	0.477047	0.839402	0.541735	0.38654	0.314919	0.149247	0.198254	0.201368	0.179076	0	47
48	0.030523	1.21019	0.490792	0.840373	0.536334	0.371926	0.36922	0.143238	0.195147	0.199069	0.178613	0	48
49	0.008761	0.030523	0.489924	0.839118	0.537183	0.372696	0.366157	0.143591	0.195248	0.199292	0.178453	0	49
50	0.008761	0.008761	0.500229	0.839482	0.538047	0.376946	0.392674	0.14359	0.195308	0.198924	0.1783	0	50
51	0.023541	1.485155	0.49103	0.8543	0.56121	0.398386	0.337221	0.149811	0.196574	0.198835	0.178085	0	51
52	0.023541	0.023541	0.486631	0.854291	0.560712	0.386124	0.334208	0.149298	0.196296	0.198703	0.177322	0	52
53	0.062282	0.062282	0.483228	0.854772	0.561946	0.393047	0.318337	0.150016	0.196739	0.198811	0.178026	0	53
54	0.017265	1.065927	0.479974	0.846974	0.565437	0.394926	0.302066	0.146935	0.197729	0.200451	0.179861	0	54
55	0.017265	0.017265	0.477778	0.84672	0.563674	0.388196	0.301991	0.146873	0.197821	0.200647	0.179174	0	55
56	0.043014	0.043014	0.482014	0.847079	0.563873	0.392068	0.311018	0.145939	0.197158	0.200442	0.18013	0	56
57	0.032509	0.9406	0.495119	0.840797	0.55064	0.385345	0.363973	0.149754	0.19954	0.202771	0.181835	0	57
58	0.032509	0.032509	0.515709	0.840598	0.550972	0.380547	0.426859	0.14959	0.199542	0.202661	0.181312	0	58
59	0.049514	0.049514	0.50689	0.840543	0.54908	0.417941	0.374714	0.149849	0.199716	0.202602	0.180989	0	59
60	0.039321	1.111789	0.475604	0.842765	0.550898	0.380816	0.305143	0.140906	0.19429	0.1981	0.17811	0	60
61	0.010291	0.039321	0.475145	0.843122	0.549975	0.381905	0.303384	0.141348	0.19436	0.198111	0.17903	0	61
62	0.010291	0.010291	0.485678	0.843185	0.550033	0.389255	0.328552	0.141324	0.194288	0.198377	0.17835	0	62
63	0.023833	1.25095	0.505349	0.835904	0.561193	0.409518	0.370586	0.145295	0.19598	0.199305	0.178759	0	63
64	0.023833	0.023833	0.508542	0.836556	0.561736	0.415172	0.374992	0.144891	0.195807	0.198985	0.178709	0	64
65	0.057853	0.057853	0.492714	0.835909	0.548417	0.403766	0.346449	0.145868	0.196116	0.1993	0.17875	0	65
66	0.019782	1.000765	0.490988	0.831488	0.550501	0.427834	0.317534	0.141145	0.193998	0.199255	0.177435	0	66
67	0.019782	0.019782	0.505374	0.83051	0.550631	0.421874	0.365003	0.141249	0.194101	0.199344	0.178295	0	67
68	0.049729	0.049729	0.513912	0.830506	0.556555	0.436246	0.375377	0.140563	0.193796	0.198984	0.177767	0	68
69	0.029881	1.034964	0.502308	0.829794	0.551493	0.421808	0.357371	0.143153	0.1939	0.198345	0.177086	0	69
70	0.025963	0.029881	0.52564	0.829898	0.55157	0.424154	0.424467	0.143073	0.194034	0.198206	0.177502	0	70
71	0.025963	0.025963	0.51663	0.82994	0.549488	0.425226	0.398343	0.143261	0.193915	0.198319	0.177424	0	71
72	0.035154	1.151666	0.495137	0.835779	0.546641	0.443419	0.317964	0.137029	0.19069	0.19611	0.175982	0	72
73	0.009989	0.035154	0.488226	0.835791	0.546331	0.432261	0.306208	0.137455	0.190831	0.195904	0.175961	0	73
74	0.009989	0.009989	0.499971	0.836098	0.54621	0.448392	0.328611	0.137441	0.190857	0.196072	0.176251	0	74
75	0.02266	1.658084	0.512671	0.853823	0.569241	0.426418	0.365675	0.146417	0.196052	0.199726	0.177388	0	75
76	0.02266	0.02266	0.504152	0.853432	0.572804	0.424082	0.341013	0.146074	0.195965	0.199553	0.175886	0	76
77	0.062382	0.062382	0.510113	0.854768	0.568762	0.407866	0.371814	0.147249	0.196857	0.200056	0.176523	0	77
78	0.015231	1.421389	0.491311	0.844673	0.553711	0.402221	0.332409	0.143477	0.194838	0.199545	0.178545	0	78
79	0.015231	0.015231	0.490837	0.844764	0.553937	0.389569	0.340766	0.143442	0.194864	0.199354	0.178979	0	79
80	0.039133	0.039133	0.486402	0.844583	0.553149	0.396971	0.322398	0.142835	0.194839	0.198767	0.178634	0	80
81	0.030486	1.305277	0.527526	0.836167	0.535036	0.408442	0.448044	0.149648	0.199732	0.202847	0.17883	0	81
82	0.030486	0.030486	0.497045	0.836512	0.534703	0.409791	0.356014	0.14931	0.199612	0.202783	0.179553	0	82
83	0.045483	0.045483	0.483153	0.835631	0.536849	0.414996	0.309538	0.149435	0.199683	0.202217	0.179312	0	83
84	0.036321	1.397043	0.491497	0.834451	0.537872	0.392002	0.348291	0.14022	0.193748	0.198921	0.178593	0	84
85	0.013404	0.036321	0.499291	0.834293	0.53755	0.392309	0.371885	0.140648	0.194027	0.199332	0.177728	0	85
86	0.013404	0.013404	0.481203	0.83461	0.537612	0.398844	0.311726	0.1406	0.193823	0.198888	0.178108	0	86
87	0.019078	1.474081	0.499115	0.834817	0.526314	0.376086	0.395945	0.144212	0.193606	0.197743	0.17709	0	87
88	0.019078	0.019078	0.497237	0.834868	0.52575	0.369881	0.395541	0.143867	0.193454	0.197865	0.177845	0	88
89	0.042568	0.042568	0.500069	0.835169	0.529668	0.370933	0.400357	0.144874	0.19397	0.198085	0.177161	0	89
90	0.014962	1.419771	0.508474	0.826262	0.533261	0.3916	0.411622	0.136738	0.187691	0.192543	0.173031	0	90
91	0.014962	0.014962	0.508405	0.826416	0.529959	0.387976	0.416754	0.136848	0.187819	0.192731	0.173622	0	91
92	0.040736	0.040736	0.50866	0.82651	0.534588	0.384728	0.417052	0.136422	0.187459	0.192556	0.173047	0	92
93	0.043727	1.329115	0.493039	0.830031	0.534672	0.400688	0.350699	0.145249	0.195789	0.199944	0.179644	0	93
94	0.037274	0.043727	0.500356	0.829439	0.534321	0.463868	0.323822	0.144926	0.195435	0.199512	0.179298	0	94
95	0.037274	0.037274	0.506366	0.828959	0.5338	0.464318	0.34231	0.144843	0.195315	0.1995	0.179041	0	95
96	0.03444	1.30558	0.518847	0.830983	0.54297	0.439769	0.39303	0.133338	0.18493	0.191241	0.173296	0	96
97	0.012027	0.03444	0.518144	0.831222	0.543404	0.459522	0.374927	0.133924	0.185351	0.191657	0.173215	0	97
98	0.012027	0.012027	0.512173	0.831282	0.542998	0.440577	0.371955	0.134021	0.185274	0.191534	0.173218	0	98
99	0.018628	1.58323	0.520271	0.837003	0.541878	0.402813	0.42919	0.14541	0.195168	0.19949	0.178432	0	99
100	0.018628	0.018628	0.526189	0.836905	0.541986	0.405614	0.444278	0.145207	0.195333	0.199653	0.178488	0	100
101	0.056185	0.056185	0.492567	0.836344	0.547739	0.389301	0.355177	0.14636	0.195863	0.200259	0.178849	0	101
102	0.018423	1.166517	0.483809	0.834924	0.541954	0.412268	0.312065	0.144312	0.1948	0.199602	0.178053	0	102
103	0.018423	0.018423	0.483526	0.835005	0.537648	0.415994	0.31119	0.144317	0.194755	0.199491	0.178273	0	103
104	0.045816	0.045816	0.482995	0.834779	0.537028	0.414989	0.310874	0.14365	0.194343	0.19904	0.177929	0	104
105	0.036783	1.052355	0.500138	0.828577	0.521053	0.46763	0.337801	0.148294	0.197596	0.201015	0.17954	0	105
106	0.036783	0.036783	0.487873	0.827612	0.521077	0.439853	0.323124	0.147894	0.197188	0.200767	0.179642	0	106
107	0.03974	0.03974	0.48653	0.828424	0.520382	0.436339	0.321753	0.148207	0.197675	0.200957	0.179512	0	107
108	0.043105	1.332828	0.513961	0.827692	0.535997	0.471616	0.362973	0.139781	0.192223	0.197028	0.177557	0	108
109	0.014228	0.043105	0.525146	0.828074	0.533178	0.455032	0.409978	0.140364	0.192239	0.196912	0.177223	0	109
110	0.014228	0.014228	0.511732	0.827748	0.532611	0.455213	0.370878	0.140204	0.192218	0.197159	0.176905	0	110
111	0.020488	1.441626	0.499067	0.824023	0.521655	0.450404	0.349764	0.144064	0.194845	0.199227	0.177624	0	111
112	0.020488	0.020488	0.498734	0.824151	0.52133	0.448053	0.350665	0.143513	0.194477	0.198859	0.177826	0	112
113	0.050527	0.050527	0.499854	0.823587	0.520978	0.451339	0.352012	0.144528	0.195096	0.199163	0.177698	0	113
114	0.015533	1.327426	0.490728	0.820782	0.525291	0.437396	0.331149	0.135596	0.18703	0.192782	0.173265	0	114
115	0.015533	0.015533	0.492399	0.820539	0.525491	0.437494	0.335999	0.13568	0.187161	0.193099	0.173675	0	115
116	0.037439	0.037439	0.502241	0.820762	0.523654	0.457848	0.350908	0.135386	0.18712	0.193006	0.172928	0	116
117	0.033668	1.304462	0.500396	0.821439	0.515389	0.439966	0.366692	0.142919	0.193806	0.197837	0.177465	0	117
118	0.033668	0.033668	0.520624	0.822024	0.516347	0.433743	0.42929	0.142654	0.193817	0.198481	0.17734	0	118
119	0.034756	0.034756	0.518931	0.821512	0.515755	0.418804	0.43592	0.142863	0.193981	0.198442	0.177303	0	119
120	0.040474	1.155794	0.493283	0.819228	0.515542	0.438315	0.346874	0.134818	0.188428	0.194572	0.174149	0	120
121	0.011835	0.040474	0.488583	0.819264	0.516349	0.435299	0.334793	0.135002	0.188459	0.194443	0.173996	0	121
122	0.011835	0.011835	0.490429	0.819333	0.515523	0.436523	0.339809	0.135103	0.18842	0.194501	0.17431	0	122
123	0.02706	1.432775	0.498482	0.835798	0.52935	0.417543	0.369751	0.144251	0.194787	0.199002	0.175824	0	123
124	0.02706	0.02706	0.504446	0.836178	0.532739	0.435769	0.371352	0.144106	0.194785	0.199054	0.175979	0	124
125	0.071068	0.071068	0.522785	0.835273	0.529002	0.412679	0.441736	0.145591	0.195699	0.199744	0.176384	0	125
126	0.018563	1.257087	0.482553	0.835231	0.546575	0.378909	0.341121	0.142891	0.19556	0.201135	0.179125	0	126
127	0.018563	0.018563	0.512453	0.83478	0.548637	0.379552	0.423863	0.142884	0.195691	0.200738	0.179352	0	127
128	0.042361	0.042361	0.483809	0.83416	0.54692	0.378758	0.345143	0.142714	0.195634	0.201097	0.178851	0	128
129	0.028719	1.171605	0.501109	0.838604	0.549335	0.389941	0.381585	0.148085	0.198817	0.202338	0.179109	0	129
130	0.028719	0.028719	0.49897	0.839056	0.549022	0.395381	0.371605	0.147889	0.198718	0.202277	0.179146	0	130
131	0.03575	0.03575	0.492871	0.83898	0.54978	0.395306	0.354068	0.148082	0.198597	0.202233	0.178969	0	131
132	0.041869	1.33684	0.488443	0.836956	0.547633	0.401982	0.335528	0.138353	0.192791	0.197521	0.177529	0	132
133	0.014266	0.041869	0.526768	0.838018	0.54816	0.417235	0.43278	0.138814	0.192656	0.197496	0.177556	0	133
134	0.014266	0.014266	0.525088	0.837274	0.547782	0.409575	0.434122	0.138761	0.192947	0.197477	0.178174	0	134
135	0.021035	1.533335	0.499738	0.834414	0.545206	0.396916	0.378752	0.14433	0.194766	0.198964	0.177592	0	135
136	0.021035	0.021035	0.494975	0.83437	0.538665	0.39452	0.371034	0.143997	0.194597	0.198616	0.177423	0	136
137	0.052493	0.052493	0.507675	0.835381	0.539406	0.38941	0.409355	0.145098	0.194918	0.199359	0.178089	0	137
138	0.017876	1.314609	0.483215	0.830997	0.545336	0.395815	0.329399	0.14119	0.192911	0.1988	0.177842	0	138
139	0.017876	0.017876	0.489156	0.831927	0.546173	0.395002	0.346096	0.141335	0.193274	0.199117	0.177732	0	139
140	0.042516	0.042516	0.478367	0.831511	0.542639	0.379628	0.328881	0.140877	0.192935	0.19829	0.177846	0	140
141	0.036409	1.307112	0.494079	0.832558	0.539133	0.403858	0.358603	0.145787	0.196246	0.201007	0.178204	0	141
142	0.034649	0.036409	0.488215	0.832761	0.537494	0.382399	0.358315	0.145653	0.195897	0.201175	0.17839	0	142
143	0.034649	0.034649	0.495252	0.832812	0.541163	0.375572	0.381092	0.145717	0.196032	0.201138	0.178455	0	143
144	0.048786	1.241776	0.505898	0.83894	0.537348	0.398701	0.393405	0.13918	0.191537	0.197229	0.17412	0	144
