frame	n	mse_avg	mse_y	mse_u	mse_v	psnr_avg	psnr_y	psnr_u	psnr_v
0	1	2466.17	3542.19	365.06	263.22	14.21	12.64	22.51	23.93
1	2	2466.7	3542.81	365.65	263.29	14.21	12.64	22.5	23.93
2	3	2466.6	3542.66	365.58	263.4	14.21	12.64	22.5	23.92
3	4	2459.58	3531.76	366.44	264.01	14.22	12.65	22.49	23.91
4	5	2459.93	3532.27	366.38	264.08	14.22	12.65	22.49	23.91
5	6	2459.3	3531.21	366.55	264.37	14.22	12.65	22.49	23.91
6	7	2454.24	3523.41	369.29	262.51	14.23	12.66	22.46	23.94
7	8	2454.28	3523.44	369.36	262.55	14.23	12.66	22.46	23.94
8	9	2454.31	3523.47	369.32	262.64	14.23	12.66	22.46	23.94
9	10	2468	3544.63	367.37	262.14	14.21	12.64	22.48	23.95
10	11	2467.68	3544.16	367.27	262.16	14.21	12.64	22.48	23.95
11	12	2468.51	3545.36	367.34	262.25	14.21	12.63	22.48	23.94
12	13	2438.41	3498.14	374.18	263.73	14.26	12.69	22.4	23.92
13	14	2438.11	3497.74	374.2	263.52	14.26	12.69	22.4	23.92
14	15	2438.22	3497.88	374.18	263.59	14.26	12.69	22.4	23.92
15	16	2489.96	3575.67	372.37	264.7	14.17	12.6	22.42	23.9
16	17	2489.91	3575.57	372.4	264.81	14.17	12.6	22.42	23.9
17	18	2489.52	3574.94	372.41	264.92	14.17	12.6	22.42	23.9
18	19	2468.51	3540.87	379.93	267.67	14.21	12.64	22.33	23.85
19	20	2468.76	3541.21	380	267.72	14.21	12.64	22.33	23.85
20	21	2469.13	3541.74	379.98	267.86	14.21	12.64	22.33	23.85
21	22	2502.95	3593.9	374.94	267.16	14.15	12.58	22.39	23.86
22	23	2502.82	3593.68	374.99	267.17	14.15	12.58	22.39	23.86
23	24	2503.29	3594.38	375.26	266.98	14.15	12.57	22.39	23.87
24	25	2473.39	3547.93	379.84	268.79	14.2	12.63	22.33	23.84
25	26	2473.29	3547.82	379.77	268.66	14.2	12.63	22.34	23.84
26	27	2473.37	3547.95	379.77	268.64	14.2	12.63	22.34	23.84
27	28	2492.71	3579.55	373.27	264.81	14.16	12.59	22.41	23.9
28	29	2493.02	3580.11	372.97	264.72	14.16	12.59	22.41	23.9
29	30	2492.33	3579.24	372.63	264.36	14.16	12.59	22.42	23.91
30	31	2457.64	3526.98	374.02	263.93	14.23	12.66	22.4	23.92
31	32	2457.76	3527.14	374.06	263.96	14.23	12.66	22.4	23.92
32	33	2458.02	3527.57	373.81	264.02	14.22	12.66	22.4	23.91
33	34	2466.07	3542.07	367.73	260.38	14.21	12.64	22.48	23.97
34	35	2465.71	3541.6	367.62	260.27	14.21	12.64	22.48	23.98
35	36	2465.84	3541.84	367.5	260.2	14.21	12.64	22.48	23.98
36	37	2429.74	3484.31	373.98	267.23	14.28	12.71	22.4	23.86
37	38	2429.08	3483.49	373.63	266.88	14.28	12.71	22.41	23.87
38	39	2429.25	3483.8	373.5	266.77	14.28	12.71	22.41	23.87
39	40	2478	3560.84	366.4	258.26	14.19	12.62	22.49	24.01
40	41	2478.45	3561.51	366.34	258.29	14.19	12.61	22.49	24.01
41	42	2477.99	3560.94	366.12	258.08	14.19	12.62	22.49	24.01
42	43	2450.66	3517.52	372.1	261.75	14.24	12.67	22.42	23.95
43	44	2450.91	3517.89	372.12	261.76	14.24	12.67	22.42	23.95
44	45	2450.83	3517.82	371.96	261.75	14.24	12.67	22.43	23.95
45	46	2472.31	3553.95	363.04	255.02	14.2	12.62	22.53	24.07
46	47	2472.12	3553.69	362.89	255.07	14.2	12.62	22.53	24.06
