frame	n	Y	U	V	All
0	1	0.482688	0.82148	0.841533	0.598961
1	2	0.482774	0.821364	0.841488	0.598991
2	3	0.482771	0.821341	0.841448	0.598978
3	4	0.495777	0.819872	0.839523	0.607084
4	5	0.495801	0.819827	0.839459	0.607082
5	6	0.497712	0.819931	0.839622	0.6084
6	7	0.505801	0.817637	0.837986	0.613137
7	8	0.505862	0.817625	0.837886	0.61316
8	9	0.505702	0.817458	0.837828	0.613016
9	10	0.506415	0.817457	0.837033	0.613359
10	11	0.506424	0.8175	0.836947	0.613357
11	12	0.506451	0.817454	0.836804	0.613344
12	13	0.500955	0.814305	0.834389	0.608752
13	14	0.50136	0.814392	0.834461	0.609049
14	15	0.501319	0.814383	0.834443	0.609017
15	16	0.497989	0.814796	0.834875	0.606938
16	17	0.497943	0.814726	0.834769	0.606878
17	18	0.498372	0.814781	0.834909	0.607196
18	19	0.494222	0.811187	0.831622	0.603283
19	20	0.49424	0.811079	0.831629	0.603278
20	21	0.494117	0.811084	0.831602	0.603192
21	22	0.494411	0.814415	0.833371	0.604239
22	23	0.494361	0.814364	0.833341	0.604191
23	24	0.494338	0.814306	0.833309	0.604162
24	25	0.492938	0.812884	0.832147	0.602797
25	26	0.493018	0.813002	0.832243	0.602886
26	27	0.493058	0.813015	0.83227	0.60292
27	28	0.50514	0.817285	0.836946	0.612465
28	29	0.505077	0.817322	0.836896	0.612421
29	30	0.505962	0.81749	0.837207	0.613091
30	31	0.508052	0.816333	0.837109	0.614275
31	32	0.508075	0.816322	0.837027	0.614275
32	33	0.507875	0.816322	0.837033	0.614142
33	34	0.504715	0.8188	0.838914	0.612763
34	35	0.504641	0.818806	0.838857	0.612705
35	36	0.504812	0.818849	0.838787	0.612814
36	37	0.499259	0.813283	0.834983	0.60755
37	38	0.499538	0.813442	0.835219	0.607802
38	39	0.499466	0.813455	0.835218	0.607756
39	40	0.4946	0.817482	0.837841	0.60562
40	41	0.494488	0.817459	0.837779	0.605532
41	42	0.494857	0.817681	0.837869	0.60583
42	43	0.493934	0.813781	0.835011	0.604088
43	44	0.493977	0.813734	0.835041	0.604114
44	45	0.493846	0.813679	0.834959	0.604003
45	46	0.492641	0.818328	0.838376	0.604545
46	47	0.492618	0.818419	0.838381	0.604545
47	48	0.49259	0.818418	0.838404	0.60453
48	49	0.490565	0.815778	0.836324	0.602394
49	50	0.490695	0.815776	0.836354	0.602485
50	51	0.490656	0.815777	0.836357	0.602459
51	52	0.501595	0.818416	0.838515	0.610552
52	53	0.501475	0.818377	0.838446	0.610454
